Start,End,Open,High,Low,Close,Volume,Market Cap
2024-11-03,2024-11-04,69316,69373.64,67593.72,68832.86,36194109863.87805,1353973920610.3484
2024-11-02,2024-11-03,69608,69896.03,69086.03,69319.96,50326627050.188156,1374269743730.8396
2024-11-01,2024-11-02,70346.9,71520.59,68866.03,69531.96,64764647003.57491,1378466264018.6238
2024-10-31,2024-11-01,72368.05,72625.19,69788.84,70340.01,53854409839.36585,1413995664371.2751
2024-10-30,2024-10-31,72679.98,72865.93,71511.03,72359.86,71130395353.4251,1427716315596.777
2024-10-29,2024-10-30,69868.02,73534.9,69787.87,72782.82,69264084198.31708,1415305246139.2961
2024-10-28,2024-10-29,68033.02,70130.8,67651.1,69892.45,37114871114.24042,1357158014032.2405
2024-10-27,2024-10-28,67082.64,68300.39,66857.06,68029.34,24371770053.99303,1333083441990.8884
2024-10-26,2024-10-27,66651.97,67363.21,66542.03,67102.01,55642452451.09408,1324427980567.7805
2024-10-25,2024-10-26,68233.69,68680.88,65750.97,66637.8,47280935128.599304,1336900585749.3623
2024-10-24,2024-10-25,66649.97,68704.49,66550.03,68234.05,50123672098.26481,1334846995284.0837
2024-10-23,2024-10-24,67405.32,67405.32,65269.97,66745.54,46287674514.191635,1316702466145.3623
2024-10-22,2024-10-23,67386.24,67781.79,66698,67393.99,55116769379.06969,1331080919999.4983
2024-10-21,2024-10-22,68997.53,69414.08,66865.98,67440.04,45600677049.55401,1347458269493.77
2024-10-20,2024-10-21,68393.94,69315.86,68114.03,68987.76,21401472337.9338,1353184866928.4739
2024-10-19,2024-10-20,68471.68,68639.99,68042.04,68394.04,39854632469.9338,1349788419169.2021
2024-10-18,2024-10-19,67399.86,68963.99,67194.06,68465.29,54278095716.083626,1346659620373.54
2024-10-17,2024-10-18,67701.14,67923.93,66803.61,67363.67,51428967058.60627,1329511317965.1917
2024-10-16,2024-10-17,67045.13,68274.26,66793.33,67657.43,85047855179.66202,1334134211358.1394
2024-10-15,2024-10-16,66091.69,67759.99,64989.97,66984.04,116765204875.63414,1306322769726.014
2024-10-14,2024-10-15,62827.65,66419.87,62484.15,66085.97,99886309610.80836,1280877236512.7212
2024-10-13,2024-10-14,63279.91,63279.91,62055.98,62806.34,79286610370.27527,1239946538823.5854
2024-10-12,2024-10-13,62575.79,63440.44,62499.99,63216.04,95040455893.51219,1243769524960.3901
2024-10-11,2024-10-12,60290.3,63270.59,60113.2,62410.61,97531320750.40767,1215919033598.9094
2024-10-10,2024-10-11,60603.9,61300.02,59017,60260.02,93419872142.50174,1197203364464.9895
2024-10-09,2024-10-10,62130.05,62530.42,60439.87,60647.99,93092147716.19861,1222680467455.69
2024-10-08,2024-10-09,62319.44,63130.04,61912.01,62215.97,107240146136.86063,1233787868452.85
2024-10-07,2024-10-08,62845.99,64436.04,62213.98,62300.75,96095290446.22997,1252777002071.7805
2024-10-06,2024-10-07,62000.06,62915.02,61839.92,62823.43,73632122102.43205,1230673337023.359
2024-10-05,2024-10-06,62198.05,62331.35,61723.39,62084,90303823443.8467,1226360450088.777
2024-10-04,2024-10-05,60788.37,62445.33,60488.64,62110.02,107180024237.33101,1216589697085.4077
2024-10-03,2024-10-04,60546.49,61464.04,60077.99,60776.01,115063546329.83624,1201370102458.9827
2024-10-02,2024-10-03,60816.01,62227.26,60005.98,60670.03,120577794899.03833,1211075380344.101
2024-10-01,2024-10-02,63344,64125.97,60395.96,60888.04,109318142902.60976,1242375814515.0312
